Ya_ grubu ve cinsiyete gšre intiharlar, 2002-2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Suicides by age group and sex, 2002-2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Toplam;;;Ya_ grubu-Age group;;;;;;;;;;;;;;;;;;;;;;;;Ya_ grubu-Age group;;;;;;;;;;;;;;;;;;Bilinmeyen;;
;;Total;;;<15;;;15-19;;;20-24;;;25-29;;;30-34;;;35-39;;;40-44;;;45-49;;;50-54;;;55-59;;;60-64;;;65-69;;;70-74;;; 75+;;;Unknown;;
Yõl;Cinsiyet;Sayõ;;;Sayõ;;;Sayõ;;;Sayõ;;;Sayõ;;;Sayõ;;;Sayõ;;;Sayõ;;;Sayõ;;;Sayõ;;;Sayõ;;;Sayõ;;;Sayõ;;;Sayõ;;;Sayõ;;;Sayõ;;
Year;Sex;Number;(%);;Number;(%);;Number;(%);;Number;(%);;Number;(%);;Number;(%);;Number;(%);;Number;(%);;Number;(%);;Number;(%);;Number;(%);;Number;(%);;Number;(%);;Number;(%);;Number;(%);;Number;(%);
2022;Toplam-Total; 4 146;100,0;;  81;2,0;;  410;9,9;;  544;13,1;;  568;13,7;;  460;11,1;;  398;9,6;;  373;9,0;;  265;6,4;;  241;5,8;;  201;4,8;;  176;4,2;;  145;3,5;;  111;2,7;;  173;4,2;;-;-;
;Erkek-Male; 3 111;100,0;;  40;1,3;;  236;7,6;;  401;12,9;;  462;14,9;;  378;12,2;;  308;9,9;;  288;9,3;;  193;6,2;;  181;5,8;;  155;5,0;;  146;4,7;;  110;3,5;;  83;2,7;;  130;4,2;;-;-;
;Kadõn-Female; 1 035;100,0;;  41;4,0;;  174;16,8;;  143;13,8;;  106;10,2;;  82;7,9;;  90;8,7;;  85;8,2;;  72;7,0;;  60;5,8;;  46;4,4;;  30;2,9;;  35;3,4;;  28;2,7;;  43;4,2;;-;-;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021(r);Toplam-Total; 4 194;100,0;;  71;1,7;;  377;9,0;;  512;12,2;;  528;12,6;;  451;10,8;;  385;9,2;;  394;9,4;;  300;7,2;;  241;5,7;;  249;5,9;;  203;4,8;;  184;4,4;;  103;2,5;;  196;4,7;;-;-;
;Erkek-Male; 3 263;100,0;;  34;1,0;;  216;6,6;;  405;12,4;;  451;13,8;;  367;11,2;;  317;9,7;;  316;9,7;;  240;7,4;;  196;6,0;;  188;5,8;;  155;4,8;;  147;4,5;;  85;2,6;;  146;4,5;;-;-;
;Kadõn-Female;  931;100,0;;  37;4,0;;  161;17,3;;  107;11,5;;  77;8,3;;  84;9,0;;  68;7,3;;  78;8,4;;  60;6,4;;  45;4,8;;  61;6,6;;  48;5,2;;  37;4,0;;  18;1,9;;  50;5,4;;-;-;
